ADT FN19/2022,,,Notification received date,,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,,
,Malaria,020, -   , 2 , -   , 2 , -   , -   , 4 , 2 , 10 , 9 , 2 , 117 , 56 , 70.6 , 0.8 , -   , 141 , 288.2 , 0.5 , -   ,
,Murray Valley encephalitis virus infection,049, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 0.2 , 5.0 , -   , 1 , 0.4 , 2.5 , -   ,
,Ross River virus infection,002, -   , 15 , 2 , 10 , 1 , -   , 3 , -   , 31 , 37 , 44 ," 2,491 ", 210 , 563.2 , 0.4 , -   ," 2,842 "," 4,658.6 ", 0.6 , -   ,
,West Nile/Kunjin virus infection,060, -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , 1 , 1 , 0.6 , 1.7 , -   , 1 , 1.4 , 0.7 , -   ,
Zoonoses,Anthrax,058, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   ,
,Australian bat lyssavirus infection,063, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   ,
,Brucellosis,004, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , 1 , 2 , 7 , 3 , 5.0 , 0.6 , -   , 8 , 19.8 , 0.4 , -   ,
,Leptospirosis,017, -   , -   , -   , 2 , -   , -   , -   , -   , 2 , -   , 5 , 139 , 43 , 37.2 , 1.2 , -   , 169 , 162.2 , 1.0 , -   ,
,Lyssavirus infection (NEC),064, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   ,
,Monkeypox virus (MPXV) infection++,084, 1 , 3 , -   , 1 , -   , -   , 1 , 1 , 7 , 29 , -   , 134 , 126 , -   ,  , 126.0 , 134 , -   ,  , 134.0 ,
,Ornithosis,023, -   , 1 , -   , -   , -   , -   , -   , -   , 1 , 1 , 3 , 18 , 9 , 8.2 , 1.1 , -   , 31 , 31.6 , 1.0 , -   ,
,Q fever,027, -   , 4 , -   , 8 , -   , 1 , -   , 1 , 14 , 24 , 12 , 318 , 108 , 107.6 , 1.0 , -   , 451 , 523.6 , 0.9 , -   ,
,Rabies,028, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   ,
,Tularaemia,070, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , 0.4 , -   , -   ,
Other notifiable diseases,iGAS,082, -   , 11 , 6 , 29 , 3 , 1 , 9 , 4 , 63 , 48 , 12 , 596 , 288 , 14.0 , 20.6 , 211.4 , 735 , 18.0 , 40.8 , 639.8 ,
,Leprosy,016, 1 , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 2 , 3 , 2 , 2.6 , 0.8 , -   , 7 , 9.6 , 0.7 , -   ,
,,," 1,901 "," 40,062 ", 817 ," 11,227 "," 10,131 "," 1,121 "," 22,172 "," 16,265 "," 103,696 "," 149,509 "," 31,930 "," 8,881,263 "," 2,160,652 ",,,," 9,300,819 ",,,,
"Footnotes:                    
* Ratio of the 90 day prior surveillance period to the past 90 day 5 year rolling mean, or ratio of the year period prior surveillance period to the year period 5 year rolling mean.                   
NN = Not Notifiable, NEC = Not Elsewhere Classified",,,,,,,,,,,,,,,,,,,,,,,
"** Japanese encephalitis virus (JEV) cases are reported separately on the JEV outbreak webpage, accessible at: https://www.health.gov.au/health-alerts/japanese-encephalitis-virus-jev/about ",,,,,,,,,,,,,,,,,,,,,,,
"++ On 1 June 2022, 'monkeypox virus infection' was listed for a period of 6 months on the National Notifiable Diseases List (NNDL) under the provisions of the National Health Security Act 2007. During the 6 month period a formal review will be undertaken to determine whether to list 'monkeypox virus infection' permanently on the NNDL.",,,,,,,,,,,,,,,,,,,,,,,
"The data in this report are reliant on the provision of data from states and territories to the Australian Government Department of Health. Backlogs in notifications at the state or territory level may contribute to delays in reporting to the NNDSS. Notifications for some high volume conditions are only uploaded quarterly by some jurisdictions, which can result in apparent large variability over time. The NNDSS is a dynamic dataset, with data in this report representing data available on (26/09/2022). Data in this report are subject to retrospective revision and may vary from data reported in published NNDSS reports and reports of notification data by states and territories.",,,,,,,,,,,,,,,,,,,,,,,
""""" Please note that changes in laboratory testing protocols in some states are influencing case ascertainment.",,,,,,,,,,,,,,,,,,,,,,,
