,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,
Other protozoal intestinal diseases (A07),0,1,1,,0,2,2,,0,0,0,,1,0,1,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0
Viral and other specified intestinal infections (A08),4,7,11,,6,16,22,,7,14,21,,8,12,20,,7,12,19,,5,7,12,,9,20,29,,2,16,18,,7,9,16,,16,13,29,,4,10,14
Other gastroenteritis and colitis of infectious and unspecified origin (A09),5,13,18,,5,14,19,,5,12,17,,4,6,10,,18,18,36,,66,111,177,,69,113,182,,62,126,188,,71,107,178,,82,139,221,,57,116,173
Tuberculosis  (A15-A19),24,27,51,,31,14,45,,30,16,46,,22,19,41,,17,14,31,,34,15,49,,27,17,44,,25,22,47,,22,22,44,,22,26,48,,26,20,46
"Respiratory tuberculosis, bacteriologically and histologically confirmed (A15)",0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,1,2,,0,1,1
"Respiratory tuberculosis, not confirmed bacteriologically or histologically (A16)",17,19,36,,20,13,33,,24,15,39,,15,15,30,,12,8,20,,25,14,39,,23,12,35,,17,19,36,,17,18,35,,17,18,35,,22,14,36
Tuberculosis of nervous system (A17),1,0,1,,1,0,1,,1,0,1,,0,2,2,,0,0,0,,0,1,1,,1,1,2,,0,0,0,,0,0,0,,0,2,2,,0,3,3
Tuberculosis of other organs (A18),2,5,7,,7,1,8,,2,0,2,,4,0,4,,2,5,7,,7,0,7,,2,3,5,,2,3,5,,3,4,7,,2,4,6,,1,0,1
Miliary tuberculosis (A19),4,3,7,,3,0,3,,3,1,4,,3,2,5,,3,1,4,,2,0,2,,1,1,2,,6,0,6,,2,0,2,,2,1,3,,3,2,5
Certain zoonotic bacterial diseases  (A20-A28),5,2,7,,3,1,4,,2,1,3,,1,3,4,,8,3,11,,1,1,2,,1,3,4,,2,1,3,,2,2,4,,5,2,7,,2,2,4
Plague (A20),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Tularaemia (A21),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Anthrax (A22),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Brucellosis (A23),0,0,0,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Glanders and melioidosis (A24),5,2,7,,2,1,3,,1,1,2,,1,2,3,,7,3,10,,1,1,2,,1,1,2,,1,1,2,,1,1,2,,5,2,7,,2,2,4
Rat-bite fevers (A25),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Erysipeloid (A26),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Leptospirosis (A27),0,0,0,,0,0,0,,0,0,0,,0,1,1,,0,0,0,,0,0,0,,0,1,1,,1,0,1,,0,0,0,,0,0,0,,0,0,0
"Other zoonotic bacterial diseases, not elsewhere classified (A28)",0,0,0,,0,0,0,,1,0,1,,0,0,0,,1,0,1,,0,0,0,,0,1,1,,0,0,0,,1,1,2,,0,0,0,,0,0,0
Other bacterial diseases  (A30-A49),607,679,"1,286",,536,557,"1,093",,719,737,"1,456",,717,829,"1,546",,752,864,"1,616",,819,884,"1,703",,858,936,"1,794",,915,921,"1,836",,898,941,"1,839",,820,862,"1,682",,705,789,"1,494"
Leprosy [Hansen's disease] (A30),1,1,2,,0,0,0,,0,1,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Infection due to other mycobacteria (A31),5,6,11,,10,8,18,,8,2,10,,6,6,12,,8,5,13,,3,6,9,,6,3,9,,5,8,13,,9,6,15,,6,9,15,,6,5,11
Listeriosis (A32),1,1,2,,2,4,6,,5,5,10,,2,2,4,,4,1,5,,1,2,3,,1,3,4,,3,0,3,,0,3,3,,1,0,1,,1,1,2
Tetanus neonatorum (A33),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Obstetrical tetanus (A34),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Other tetanus (A35),0,1,1,,0,0,0,,0,1,1,,1,0,1,,0,1,1,,0,1,1,,0,0,0,,0,0,0,,1,0,1,,0,1,1,,1,1,2
Diphtheria (A36),0,0,0,,0,0,0,,0,0,0,,0,1,1,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1
Whooping cough (A37),0,2,2,,1,2,3,,4,0,4,,3,0,3,,3,0,3,,0,2,2,,2,2,4,,2,1,3,,0,1,1,,0,1,1,,2,1,3
Scarlet fever (A38),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Meningococcal infection (A39),7,6,13,,5,3,8,,7,3,10,,4,8,12,,5,8,13,,1,4,5,,2,6,8,,4,7,11,,5,7,12,,13,10,23,,6,6,12
Streptococcal sepsis (A40),16,15,31,,18,8,26,,17,20,37,,15,15,30,,12,14,26,,21,13,34,,19,15,34,,20,16,36,,17,21,38,,30,17,47,,13,9,22
Other sepsis (A41),553,631,"1,184",,468,509,977,,649,690,"1,339",,651,768,"1,419",,668,802,1470,,744,820,"1,564",,767,871,"1,638",,818,836,"1,654",,796,842,"1,638",,684,762,"1,446",,616,717,"1,333"
Actinomycosis (A42),1,0,1,,0,0,0,,1,0,1,,0,0,0,,0,1,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Nocardiosis (A43),2,0,2,,3,4,7,,3,1,4,,3,1,4,,3,3,6,,1,0,1,,2,2,4,,1,0,1,,5,1,6,,1,2,3,,1,3,4
Bartonellosis (A44),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Erysipelas (A46),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,1,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,0,0,0
"Other bacterial diseases, not elsewhere classified (A48)",5,1,6,,10,4,14,,9,1,10,,9,8,17,,10,1,11,,8,4,12,,4,3,7,,3,5,8,,3,4,7,,3,5,8,,8,0,8
Bacterial infection of unspecified site (A49),16,15,31,,19,15,34,,16,13,29,,23,20,43,,39,27,66,,39,32,71,,55,31,86,,58,48,106,,62,56,118,,82,55,137,,50,46,96
Infections with a predominantly sexual mode of transmission  (A50-A64),5,0,5,,3,2,5,,1,1,2,,1,1,2,,1,1,2,,1,1,2,,2,0,2,,1,0,1,,3,0,3,,1,0,1,,4,0,4
Congenital syphilis (A50),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Early syphilis (A51),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Late syphilis (A52),3,0,3,,3,1,4,,0,1,1,,0,0,0,,1,1,2,,0,0,0,,2,0,2,,0,0,0,,3,0,3,,1,0,1,,3,0,3
Other and unspecified syphilis (A53),1,0,1,,0,1,1,,1,0,1,,1,1,2,,0,0,0,,0,1,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1
Gonococcal infection (A54),1,0,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Chlamydial lymphogranuloma (venereum) (A55),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Other sexually transmitted chlamydial diseases (A56),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,0,0,0
Chancroid (A57),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Granuloma inguinale (A58),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Trichomoniasis (A59),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Anogenital herpesviral [herpes simplex] infection (A60),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
"Other predominantly sexually transmitted diseases, not elsewhere classified (A63)",0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Unspecified sexually transmitted disease (A64),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Other spirochaetal diseases  (A65-A69),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,1
Nonvenereal syphilis (A65),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Yaws (A66),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Pinta [carate] (A67),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Relapsing fevers (A68),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Other spirochaetal infections (A69),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,1
Other diseases caused by chlamydiae  (A70-A74),0,0,0,,0,0,0,,0,1,1,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,0,0,0
Chlamydia psittaci infection (A70),0,0,0,,0,0,0,,0,1,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,0,0,0
Trachoma (A71),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Other diseases caused by chlamydiae (A74),0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Rickettsioses  (A75-A79),0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,2,0,2,,1,0,1,,1,1,2,,1,0,1,,2,0,2,,0,0,0
Typhus fever (A75),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Spotted fever [tick-borne rickettsioses] (A77),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Q fever (A78),0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,2,0,2,,1,0,1,,1,1,2,,1,0,1,,2,0,2,,0,0,0
Other rickettsioses (A79),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Viral infections of the central nervous system  (A80-A89),26,20,46,,22,30,52,,21,27,48,,33,22,55,,36,15,51,,26,27,53,,18,35,53,,34,22,56,,25,41,66,,35,35,70,,39,23,62
Acute poliomyelitis (A80),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Slow virus infections of central nervous system (A81),16,15,31,,10,24,34,,19,23,42,,27,21,48,,28,9,37,,20,23,43,,13,28,41,,29,19,48,,20,35,55,,31,27,58,,34,20,54
Rabies (A82),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Mosquito-borne viral encephalitis (A83),2,0,2,,2,0,2,,0,0,0,,2,0,2,,0,1,1,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,2,0,2
Tick-borne viral encephalitis (A84),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
"Other viral encephalitis, not elsewhere classified (A85)",1,0,1,,2,0,2,,1,0,1,,0,0,0,,0,0,0,,0,1,1,,0,1,1,,1,0,1,,0,0,0,,0,0,0,,0,0,0
Unspecified viral encephalitis (A86),6,5,11,,8,4,12,,1,3,4,,3,1,4,,5,5,10,,4,3,7,,5,5,10,,4,2,6,,5,6,11,,3,8,11,,3,3,6
Viral meningitis (A87),1,0,1,,0,2,2,,0,1,1,,1,0,1,,3,0,3,,0,0,0,,0,0,0,,0,1,1,,0,0,0,,1,0,1,,0,0,0
"Other viral infections of central nervous system, not elsewhere classified (A88)",0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Unspecified viral infection of central nervous system (A89),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Arthropod-borne viral fevers and viral haemorrhagic fevers (A90-A99),0,0,0,,0,1,1,,1,0,1,,0,0,0,,1,1,2,,1,1,2,,0,0,0,,0,0,0,,0,1,1,,1,0,1,,0,1,1
Dengue fever [classical dengue] (A90),0,0,0,,0,1,1,,1,0,1,,0,0,0,,1,1,2,,0,1,1,,0,0,0,,0,0,0,,0,1,1,,0,0,0,,0,0,0
Dengue haemorrhagic fever (A91),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Other mosquito-borne viral fevers (A92),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,1,1
"Other arthropod-borne viral fevers, not elsewhere classified (A93)",0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Unspecified arthropod-borne viral fever (A94),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Yellow fever (A95),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Arenaviral haemorrhagic fever (A96),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Dengue (A97),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
"Other viral haemorrhagic fevers, not elsewhere classified (A98)",0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Unspecified viral haemorrhagic fever (A99),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Viral infections characterized by skin and mucous membrane lesions (B00-B09),25,24,49,,14,33,47,,11,29,40,,19,35,54,,21,37,58,,19,36,55,,19,23,42,,20,27,47,,21,27,48,,28,28,56,,18,34,52
Herpesviral [herpes simplex] infections (B00),12,7,19,,3,8,11,,5,7,12,,6,9,15,,7,13,20,,8,12,20,,6,5,11,,8,9,17,,7,5,12,,9,8,17,,7,14,21
Varicella [chickenpox] (B01),1,5,6,,4,1,5,,1,5,6,,5,3,8,,6,4,10,,1,2,3,,4,3,7,,1,1,2,,4,2,6,,3,2,5,,1,2,3
Zoster [herpes zoster] (B02),12,12,24,,7,24,31,,4,17,21,,8,23,31,,8,20,28,,9,22,31,,9,15,24,,10,17,27,,9,20,29,,16,18,34,,10,18,28
Smallpox (B03),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Monkeypox (B04),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Measles (B05),0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Rubella [German measles] (B06),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,1,0,1,,0,0,0,,0,0,0
Viral warts (B07),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified (B08)",0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Unspecified viral infection characterized by skin and mucous membrane lesions (B09),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Viral hepatitis  (B15-B19),32,14,46,,34,23,57,,25,7,32,,24,6,30,,32,12,44,,185,88,273,,202,88,290,,200,82,282,,188,81,269,,142,56,198,,104,34,138
Acute hepatitis A (B15),2,0,2,,1,2,3,,0,1,1,,1,0,1,,0,0,0,,2,0,2,,0,0,0,,3,0,3,,0,0,0,,0,0,0,,0,0,0
Acute hepatitis B (B16),4,2,6,,6,1,7,,0,0,0,,6,2,8,,4,3,7,,14,3,17,,26,4,30,,17,9,26,,17,7,24,,13,8,21,,3,4,7
Other acute viral hepatitis (B17),1,0,1,,1,0,1,,0,0,0,,1,0,1,,0,0,0,,1,1,2,,4,4,8,,4,5,9,,2,4,6,,3,2,5,,6,3,9
Chronic viral hepatitis (B18),25,11,36,,23,17,40,,24,5,29,,16,3,19,,27,9,36,,167,81,248,,172,80,252,,174,66,240,,168,70,238,,125,46,171,,94,27,121
Unspecified viral hepatitis (B19),0,1,1,,3,3,6,,1,1,2,,0,1,1,,1,0,1,,1,3,4,,0,0,0,,2,2,4,,1,0,1,,1,0,1,,1,0,1
Human immunodeficiency virus [HIV] disease  (B20-B24),57,6,63,,75,5,80,,63,7,70,,84,8,92,,69,5,74,,54,7,61,,56,2,58,,37,5,42,,52,6,58,,55,1,56,,24,2,26
Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases (B20),21,2,23,,32,2,34,,25,3,28,,31,3,34,,20,0,20,,20,5,25,,23,1,24,,12,1,13,,20,2,22,,29,0,29,,11,0,11
Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms (B21),9,1,10,,5,1,6,,13,1,14,,11,1,12,,16,0,16,,16,0,16,,11,0,11,,8,1,9,,14,2,16,,11,1,12,,2,1,3
Human immunodeficiency virus [HIV] disease resulting in other specified diseases (B22),10,0,10,,11,1,12,,10,3,13,,19,2,21,,13,4,17,,7,0,7,,7,0,7,,3,1,4,,3,1,4,,3,0,3,,3,0,3
Human immunodeficiency virus [HIV] disease resulting in other conditions (B23),12,1,13,,19,0,19,,9,0,9,,16,2,18,,15,1,16,,6,0,6,,4,1,5,,5,1,6,,5,0,5,,3,0,3,,3,0,3
Unspecified human immunodeficiency virus [HIV] disease (B24),5,2,7,,8,1,9,,6,0,6,,7,0,7,,5,0,5,,5,2,7,,11,0,11,,9,1,10,,10,1,11,,9,0,9,,5,1,6
Other viral diseases  (B25-B34),24,23,47,,32,21,53,,27,25,52,,19,16,35,,16,19,35,,12,17,29,,18,14,32,,18,20,38,,20,27,47,,29,36,65,,23,20,43
Cytomegaloviral disease (B25),2,8,10,,4,4,8,,8,7,15,,5,1,6,,2,5,7,,4,4,8,,2,2,4,,3,2,5,,1,3,4,,1,1,2,,3,1,4
Mumps (B26),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,1,1,,0,1,1,,0,0,0
Infectious mononucleosis (B27),2,1,3,,2,1,3,,1,0,1,,1,0,1,,1,0,1,,1,0,1,,1,0,1,,1,3,4,,0,1,1,,0,0,0,,0,0,0
Viral conjunctivitis (B30),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
"Other viral diseases, not elsewhere classified (B33)",2,2,4,,5,4,9,,3,2,5,,5,1,6,,2,3,5,,1,2,3,,4,1,5,,1,0,1,,0,1,1,,1,1,2,,2,1,3
Viral infection of unspecified site (B34),18,12,30,,21,12,33,,15,16,31,,8,14,22,,11,11,22,,6,11,17,,11,11,22,,12,15,27,,19,21,40,,27,33,60,,18,18,36
Mycoses  (B35-B49),26,7,33,,19,5,24,,25,13,38,,23,10,33,,19,15,34,,19,26,45,,22,16,38,,20,22,42,,23,12,35,,30,16,46,,36,20,56
Dermatophytosis (B35),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Other superficial mycoses (B36),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Candidiasis (B37),8,3,11,,2,3,5,,5,3,8,,6,5,11,,3,7,10,,4,9,13,,7,5,12,,3,5,8,,6,7,13,,10,3,13,,8,7,15
Coccidioidomycosis (B38),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Histoplasmosis (B39),0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Blastomycosis (B40),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Paracoccidioidomycosis (B41),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Sporotrichosis (B42),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Chromomycosis and phaeomycotic abscess (B43),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,1,,0,0,0,,0,0,0,,0,1,1,,1,0,1,,0,0,0,,0,0,0
Aspergillosis (B44),7,2,9,,8,1,9,,6,3,9,,11,1,12,,3,6,9,,14,7,21,,9,3,12,,9,8,17,,8,3,11,,10,4,14,,10,4,14
Cryptococcosis (B45),5,1,6,,5,1,6,,5,4,9,,2,2,4,,6,1,7,,1,2,3,,4,2,6,,6,3,9,,3,1,4,,4,2,6,,6,3,9
Zygomycosis (B46),1,0,1,,1,0,1,,1,0,1,,1,1,2,,1,0,1,,0,2,2,,0,0,0,,0,2,2,,1,1,2,,0,0,0,,1,1,2
Mycetoma (B47),1,0,1,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,1,0,1,,0,0,0,,1,0,1
"Other mycoses, not elsewhere classified (B48)",0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,2,0,2
